,t_12,t_23,bank_id,s_id,r_first,r_second,all_0,all_1,random
0,10,3,1,0,409,487,1.0,1.0,1.0
0,10,3,2,0,409,487,1.0,1.0,1.0
0,10,3,3,0,409,487,1.0,1.0,1.0
0,20,0,0,0,409,487,1.0,1.0,1.0
0,20,0,1,0,409,487,1.0,1.0,1.0
0,20,0,2,0,409,487,1.0,1.0,1.0
0,20,0,3,0,409,487,1.0,1.0,1.0
0,20,1,0,0,409,487,1.0,1.0,1.0
0,20,1,1,0,409,487,1.0,1.0,1.0
0,20,1,2,0,409,487,1.0,1.0,1.0
0,20,1,3,0,409,487,1.0,1.0,1.0
0,20,2,0,0,409,487,1.0,1.0,1.0
0,20,2,1,0,409,487,1.0,1.0,1.0
0,20,2,2,0,409,487,1.0,1.0,1.0
0,20,2,3,0,409,487,1.0,1.0,1.0
0,20,3,0,0,409,487,1.0,1.0,1.0
0,20,3,1,0,409,487,1.0,1.0,1.0
0,20,3,2,0,409,487,1.0,1.0,1.0
0,20,3,3,0,409,487,1.0,1.0,1.0
0,30,0,0,0,409,487,1.0,1.0,1.0
0,30,0,1,0,409,487,1.0,1.0,1.0
0,30,0,2,0,409,487,1.0,1.0,1.0
0,30,0,3,0,409,487,1.0,1.0,1.0
0,30,1,0,0,409,487,1.0,1.0,1.0
0,30,1,1,0,409,487,1.0,1.0,1.0
0,30,1,2,0,409,487,1.0,1.0,1.0
0,30,1,3,0,409,487,1.0,1.0,1.0
0,30,2,0,0,409,487,1.0,1.0,1.0
0,30,2,1,0,409,487,1.0,1.0,1.0
0,30,2,2,0,409,487,1.0,1.0,1.0
0,30,2,3,0,409,487,1.0,1.0,1.0
0,30,3,0,0,409,487,1.0,1.0,1.0
0,30,3,1,0,409,487,1.0,1.0,1.0
0,30,3,2,0,409,487,1.0,1.0,1.0
0,30,3,3,0,409,487,1.0,1.0,1.0
0,40,0,0,0,409,487,1.0,1.0,1.0
0,40,0,1,0,409,487,1.0,1.0,1.0
0,40,0,2,0,409,487,1.0,1.0,1.0
0,40,0,3,0,409,487,1.0,1.0,1.0
0,40,1,0,0,409,487,1.0,1.0,1.0
0,40,1,1,0,409,487,1.0,1.0,1.0
0,40,1,2,0,409,487,1.0,1.0,1.0
0,40,1,3,0,409,487,1.0,1.0,1.0
0,40,2,0,0,409,487,1.0,1.0,1.0
0,40,2,1,0,409,487,1.0,1.0,1.0
0,40,2,2,0,409,487,1.0,1.0,1.0
0,40,2,3,0,409,487,1.0,1.0,1.0
0,40,3,0,0,409,487,1.0,1.0,1.0
0,40,3,1,0,409,487,1.0,1.0,1.0
0,40,3,2,0,409,487,1.0,1.0,1.0
0,40,3,3,0,409,487,1.0,1.0,1.0
0,0,0,0,0,432,486,0.125,0.125,0.125
0,0,0,1,0,432,486,0.15625,0.125,0.125
0,0,0,2,0,432,486,0.125,0.125,0.125
0,0,0,3,0,432,486,0.125,0.125,0.125
0,0,1,0,0,432,486,0.125,0.125,0.125
0,0,1,1,0,432,486,0.125,0.125,0.125
0,0,1,2,0,432,486,0.125,0.125,0.125
0,0,1,3,0,432,486,0.125,0.125,0.125
0,0,2,0,0,432,486,0.125,0.125,0.125
0,0,2,1,0,432,486,0.125,0.125,0.125
0,0,2,2,0,432,486,0.125,0.125,0.15625
0,0,2,3,0,432,486,0.15625,0.125,0.125
0,0,3,0,0,432,486,0.125,0.125,0.125
0,0,3,1,0,432,486,0.125,0.125,0.125
0,0,3,2,0,432,486,0.125,0.125,0.125
0,0,3,3,0,432,486,0.15625,0.125,0.125
0,10,0,0,0,432,486,1.0,1.0,1.0
0,10,0,1,0,432,486,1.0,1.0,1.0
0,10,0,2,0,432,486,1.0,1.0,1.0
0,10,0,3,0,432,486,1.0,1.0,1.0
0,10,1,0,0,432,486,1.0,1.0,1.0
0,10,1,1,0,432,486,1.0,1.0,1.0
0,10,1,2,0,432,486,1.0,1.0,1.0
0,10,1,3,0,432,486,1.0,1.0,1.0
0,10,2,0,0,432,486,1.0,1.0,1.0
0,10,2,1,0,432,486,1.0,1.0,1.0
0,10,2,2,0,432,486,1.0,1.0,1.0
0,10,2,3,0,432,486,1.0,1.0,1.0
0,10,3,0,0,432,486,1.0,1.0,1.0
0,10,3,1,0,432,486,1.0,1.0,1.0
0,10,3,2,0,432,486,1.0,1.0,1.0
0,10,3,3,0,432,486,1.0,1.0,1.0
0,20,0,0,0,432,486,1.0,1.0,1.0
0,20,0,1,0,432,486,1.0,1.0,1.0
0,20,0,2,0,432,486,1.0,1.0,1.0
0,20,0,3,0,432,486,1.0,1.0,1.0
0,20,1,0,0,432,486,1.0,1.0,1.0
0,20,1,1,0,432,486,1.0,1.0,1.0
0,20,1,2,0,432,486,1.0,1.0,1.0
0,20,1,3,0,432,486,1.0,1.0,1.0
0,20,2,0,0,432,486,1.0,1.0,1.0
0,20,2,1,0,432,486,1.0,1.0,1.0
0,20,2,2,0,432,486,1.0,1.0,1.0
0,20,2,3,0,432,486,1.0,1.0,1.0
0,20,3,0,0,432,486,1.0,1.0,1.0
0,20,3,1,0,432,486,1.0,1.0,1.0
0,20,3,2,0,432,486,1.0,1.0,1.0
0,20,3,3,0,432,486,1.0,1.0,1.0
0,30,0,0,0,432,486,1.0,1.0,1.0
0,30,0,1,0,432,486,1.0,1.0,1.0
0,30,0,2,0,432,486,1.0,1.0,1.0
0,30,0,3,0,432,486,1.0,1.0,1.0
0,30,1,0,0,432,486,1.0,1.0,1.0
0,30,1,1,0,432,486,1.0,1.0,1.0
0,30,1,2,0,432,486,1.0,1.0,1.0
0,30,1,3,0,432,486,1.0,1.0,1.0
0,30,2,0,0,432,486,1.0,1.0,1.0
0,30,2,1,0,432,486,1.0,1.0,1.0
0,30,2,2,0,432,486,1.0,1.0,1.0
0,30,2,3,0,432,486,1.0,1.0,1.0
0,30,3,0,0,432,486,1.0,1.0,1.0
0,30,3,1,0,432,486,1.0,1.0,1.0
0,30,3,2,0,432,486,1.0,1.0,1.0
0,30,3,3,0,432,486,1.0,1.0,1.0
0,40,0,0,0,432,486,1.0,1.0,1.0
0,40,0,1,0,432,486,1.0,1.0,1.0
0,40,0,2,0,432,486,1.0,1.0,1.0
0,40,0,3,0,432,486,1.0,1.0,1.0
0,40,1,0,0,432,486,1.0,1.0,1.0
0,40,1,1,0,432,486,1.0,1.0,1.0
0,40,1,2,0,432,486,1.0,1.0,1.0
0,40,1,3,0,432,486,1.0,1.0,1.0
0,40,2,0,0,432,486,1.0,1.0,1.0
0,40,2,1,0,432,486,1.0,1.0,1.0
0,40,2,2,0,432,486,1.0,1.0,1.0
0,40,2,3,0,432,486,1.0,1.0,1.0
0,40,3,0,0,432,486,1.0,1.0,1.0
0,40,3,1,0,432,486,1.0,1.0,1.0
0,40,3,2,0,432,486,1.0,1.0,1.0
0,40,3,3,0,432,486,1.0,1.0,1.0
0,0,0,0,0,587,598,0.125,0.125,0.125
0,0,0,1,0,587,598,0.125,0.125,0.125
0,0,0,2,0,587,598,0.125,0.125,0.125
0,0,0,3,0,587,598,0.125,0.125,0.125
0,0,1,0,0,587,598,0.125,0.15625,0.15625
0,0,1,1,0,587,598,0.125,0.125,0.125
0,0,1,2,0,587,598,0.125,0.125,0.125
0,0,1,3,0,587,598,0.125,0.125,0.125
0,0,2,0,0,587,598,0.125,0.125,0.1875
0,0,2,1,0,587,598,0.15625,0.125,0.125
0,0,2,2,0,587,598,0.125,0.125,0.125
0,0,2,3,0,587,598,0.125,0.125,0.125
0,0,3,0,0,587,598,0.125,0.15625,0.125
0,0,3,1,0,587,598,0.15625,0.125,0.125
0,0,3,2,0,587,598,0.125,0.125,0.125
0,0,3,3,0,587,598,0.125,0.125,0.125
0,10,0,0,0,587,598,1.0,1.0,1.0
0,10,0,1,0,587,598,1.0,1.0,1.0
0,10,0,2,0,587,598,1.0,1.0,1.0
0,10,0,3,0,587,598,1.0,1.0,1.0
0,10,1,0,0,587,598,1.0,1.0,1.0
0,10,1,1,0,587,598,1.0,1.0,1.0
0,10,1,2,0,587,598,1.0,1.0,1.0
0,10,1,3,0,587,598,1.0,1.0,1.0
0,10,2,0,0,587,598,1.0,1.0,1.0
0,10,2,1,0,587,598,1.0,1.0,1.0
0,10,2,2,0,587,598,1.0,1.0,1.0
0,10,2,3,0,587,598,1.0,1.0,1.0
0,10,3,0,0,587,598,1.0,1.0,1.0
0,10,3,1,0,587,598,1.0,1.0,1.0
0,10,3,2,0,587,598,1.0,1.0,1.0
0,10,3,3,0,587,598,1.0,1.0,1.0
0,20,0,0,0,587,598,1.0,1.0,1.0
0,20,0,1,0,587,598,1.0,1.0,1.0
0,20,0,2,0,587,598,1.0,1.0,1.0
0,20,0,3,0,587,598,1.0,1.0,1.0
0,20,1,0,0,587,598,1.0,1.0,1.0
0,20,1,1,0,587,598,1.0,1.0,1.0
0,20,1,2,0,587,598,1.0,1.0,1.0
0,20,1,3,0,587,598,1.0,1.0,1.0
0,20,2,0,0,587,598,1.0,1.0,1.0
0,20,2,1,0,587,598,1.0,1.0,1.0
0,20,2,2,0,587,598,1.0,1.0,1.0
0,20,2,3,0,587,598,1.0,1.0,1.0
0,20,3,0,0,587,598,1.0,1.0,1.0
0,20,3,1,0,587,598,1.0,1.0,1.0
0,20,3,2,0,587,598,1.0,1.0,1.0
0,20,3,3,0,587,598,1.0,1.0,1.0
0,30,0,0,0,587,598,1.0,1.0,1.0
0,30,0,1,0,587,598,1.0,1.0,1.0
0,30,0,2,0,587,598,1.0,1.0,1.0
0,30,0,3,0,587,598,1.0,1.0,1.0
0,30,1,0,0,587,598,1.0,1.0,1.0
0,30,1,1,0,587,598,1.0,1.0,1.0
0,30,1,2,0,587,598,1.0,1.0,1.0
0,30,1,3,0,587,598,1.0,1.0,1.0
0,30,2,0,0,587,598,1.0,1.0,1.0
0,30,2,1,0,587,598,1.0,1.0,1.0
0,30,2,2,0,587,598,1.0,1.0,1.0
0,30,2,3,0,587,598,1.0,1.0,1.0
0,30,3,0,0,587,598,1.0,1.0,1.0
0,30,3,1,0,587,598,1.0,1.0,1.0
0,30,3,2,0,587,598,1.0,1.0,1.0
0,30,3,3,0,587,598,1.0,1.0,1.0
0,40,0,0,0,587,598,1.0,1.0,1.0
0,40,0,1,0,587,598,1.0,1.0,1.0
0,40,0,2,0,587,598,1.0,1.0,1.0
0,40,0,3,0,587,598,1.0,1.0,1.0
0,40,1,0,0,587,598,1.0,1.0,1.0
0,40,1,1,0,587,598,1.0,1.0,1.0
0,40,1,2,0,587,598,1.0,1.0,1.0
0,40,1,3,0,587,598,1.0,1.0,1.0
0,40,2,0,0,587,598,1.0,1.0,1.0
0,40,2,1,0,587,598,1.0,1.0,1.0
0,40,2,2,0,587,598,1.0,1.0,1.0
0,40,2,3,0,587,598,1.0,1.0,1.0
0,40,3,0,0,587,598,1.0,1.0,1.0
0,40,3,1,0,587,598,1.0,1.0,1.0
0,40,3,2,0,587,598,1.0,1.0,1.0
0,40,3,3,0,587,598,1.0,1.0,1.0
0,0,0,0,0,89,480,0.125,0.125,0.15625
0,0,0,1,0,89,480,0.15625,0.125,0.125
0,0,0,2,0,89,480,0.125,0.125,0.125
0,0,0,3,0,89,480,0.125,0.125,0.125
0,0,1,0,0,89,480,0.15625,0.125,0.125
0,0,1,1,0,89,480,0.125,0.125,0.125
0,0,1,2,0,89,480,0.125,0.125,0.125
0,0,1,3,0,89,480,0.125,0.125,0.125
0,0,2,0,0,89,480,0.15625,0.125,0.125
0,0,2,1,0,89,480,0.125,0.125,0.125
0,0,2,2,0,89,480,0.125,0.125,0.125
0,0,2,3,0,89,480,0.125,0.125,0.125
0,0,3,0,0,89,480,0.125,0.125,0.125
0,0,3,1,0,89,480,0.125,0.125,0.125
0,0,3,2,0,89,480,0.15625,0.125,0.125
0,0,3,3,0,89,480,0.125,0.125,0.125
0,10,0,0,0,89,480,1.0,1.0,1.0
0,10,0,1,0,89,480,1.0,1.0,1.0
0,10,0,2,0,89,480,1.0,1.0,1.0
0,10,0,3,0,89,480,1.0,1.0,1.0
0,10,1,0,0,89,480,1.0,1.0,1.0
0,10,1,1,0,89,480,1.0,1.0,1.0
0,10,1,2,0,89,480,1.0,1.0,1.0
0,10,1,3,0,89,480,1.0,1.0,1.0
0,10,2,0,0,89,480,1.0,1.0,1.0
0,10,2,1,0,89,480,1.0,1.0,1.0
0,10,2,2,0,89,480,1.0,1.0,1.0
0,10,2,3,0,89,480,1.0,1.0,1.0
0,10,3,0,0,89,480,1.0,1.0,1.0
0,10,3,1,0,89,480,1.0,1.0,1.0
0,10,3,2,0,89,480,1.0,1.0,1.0
0,10,3,3,0,89,480,1.0,1.0,1.0
0,20,0,0,0,89,480,1.0,1.0,1.0
0,20,0,1,0,89,480,1.0,1.0,1.0
0,20,0,2,0,89,480,1.0,1.0,1.0
0,20,0,3,0,89,480,1.0,1.0,1.0
0,20,1,0,0,89,480,1.0,1.0,1.0
0,20,1,1,0,89,480,1.0,1.0,1.0
0,20,1,2,0,89,480,1.0,1.0,1.0
0,20,1,3,0,89,480,1.0,1.0,1.0
0,20,2,0,0,89,480,1.0,1.0,1.0
0,20,2,1,0,89,480,1.0,1.0,1.0
0,20,2,2,0,89,480,1.0,1.0,1.0
0,20,2,3,0,89,480,1.0,1.0,1.0
0,20,3,0,0,89,480,1.0,1.0,1.0
0,20,3,1,0,89,480,1.0,1.0,1.0
0,20,3,2,0,89,480,1.0,1.0,1.0
0,20,3,3,0,89,480,1.0,1.0,1.0
0,30,0,0,0,89,480,1.0,1.0,1.0
0,30,0,1,0,89,480,1.0,1.0,1.0
0,30,0,2,0,89,480,1.0,1.0,1.0
0,30,0,3,0,89,480,1.0,1.0,1.0
0,30,1,0,0,89,480,1.0,1.0,1.0
0,30,1,1,0,89,480,1.0,1.0,1.0
0,30,1,2,0,89,480,1.0,1.0,1.0
0,30,1,3,0,89,480,1.0,1.0,1.0
0,30,2,0,0,89,480,1.0,1.0,1.0
0,30,2,1,0,89,480,1.0,1.0,1.0
0,30,2,2,0,89,480,1.0,1.0,1.0
0,30,2,3,0,89,480,1.0,1.0,1.0
0,30,3,0,0,89,480,1.0,1.0,1.0
0,30,3,1,0,89,480,1.0,1.0,1.0
0,30,3,2,0,89,480,1.0,1.0,1.0
0,30,3,3,0,89,480,1.0,1.0,1.0
0,40,0,0,0,89,480,1.0,1.0,1.0
0,40,0,1,0,89,480,1.0,1.0,1.0
0,40,0,2,0,89,480,1.0,1.0,1.0
0,40,0,3,0,89,480,1.0,1.0,1.0
0,40,1,0,0,89,480,1.0,1.0,1.0
0,40,1,1,0,89,480,1.0,1.0,1.0
0,40,1,2,0,89,480,1.0,1.0,1.0
0,40,1,3,0,89,480,1.0,1.0,1.0
0,40,2,0,0,89,480,1.0,1.0,1.0
0,40,2,1,0,89,480,1.0,1.0,1.0
0,40,2,2,0,89,480,1.0,1.0,1.0
0,40,2,3,0,89,480,1.0,1.0,1.0
0,40,3,0,0,89,480,1.0,1.0,1.0
0,40,3,1,0,89,480,1.0,1.0,1.0
0,40,3,2,0,89,480,1.0,1.0,1.0
0,40,3,3,0,89,480,1.0,1.0,1.0
0,0,0,0,0,78,424,0.125,0.125,0.125
0,0,0,1,0,78,424,0.125,0.125,0.125
0,0,0,2,0,78,424,0.125,0.125,0.125
0,0,0,3,0,78,424,0.15625,0.125,0.125
0,0,1,0,0,78,424,0.125,0.125,0.125
0,0,1,1,0,78,424,0.15625,0.125,0.125
0,0,1,2,0,78,424,0.125,0.125,0.125
0,0,1,3,0,78,424,0.15625,0.125,0.125
0,0,2,0,0,78,424,0.125,0.125,0.125
0,0,2,1,0,78,424,0.125,0.125,0.125
0,0,2,2,0,78,424,0.125,0.125,0.125
0,0,2,3,0,78,424,0.125,0.125,0.125
0,0,3,0,0,78,424,0.125,0.125,0.125
0,0,3,1,0,78,424,0.125,0.125,0.125
0,0,3,2,0,78,424,0.125,0.125,0.125
0,0,3,3,0,78,424,0.125,0.125,0.125
0,10,0,0,0,78,424,1.0,1.0,1.0
0,10,0,1,0,78,424,1.0,1.0,1.0
0,10,0,2,0,78,424,1.0,1.0,1.0
0,10,0,3,0,78,424,1.0,1.0,1.0
0,10,1,0,0,78,424,1.0,1.0,1.0
0,10,1,1,0,78,424,1.0,1.0,1.0
0,10,1,2,0,78,424,1.0,1.0,1.0
0,10,1,3,0,78,424,1.0,1.0,1.0
0,10,2,0,0,78,424,1.0,1.0,1.0
0,10,2,1,0,78,424,1.0,1.0,1.0
0,10,2,2,0,78,424,1.0,1.0,1.0
0,10,2,3,0,78,424,1.0,1.0,1.0
0,10,3,0,0,78,424,1.0,1.0,1.0
0,10,3,1,0,78,424,1.0,1.0,1.0
0,10,3,2,0,78,424,1.0,1.0,1.0
0,10,3,3,0,78,424,1.0,1.0,1.0
0,20,0,0,0,78,424,1.0,1.0,1.0
0,20,0,1,0,78,424,1.0,1.0,1.0
0,20,0,2,0,78,424,1.0,1.0,1.0
0,20,0,3,0,78,424,1.0,1.0,1.0
0,20,1,0,0,78,424,1.0,1.0,1.0
0,20,1,1,0,78,424,1.0,1.0,1.0
0,20,1,2,0,78,424,1.0,1.0,1.0
0,20,1,3,0,78,424,1.0,1.0,1.0
0,20,2,0,0,78,424,1.0,1.0,1.0
0,20,2,1,0,78,424,1.0,1.0,1.0
0,20,2,2,0,78,424,1.0,1.0,1.0
0,20,2,3,0,78,424,1.0,1.0,1.0
0,20,3,0,0,78,424,1.0,1.0,1.0
0,20,3,1,0,78,424,1.0,1.0,1.0
0,20,3,2,0,78,424,1.0,1.0,1.0
0,20,3,3,0,78,424,1.0,1.0,1.0
0,30,0,0,0,78,424,1.0,1.0,1.0
0,30,0,1,0,78,424,1.0,1.0,1.0
0,30,0,2,0,78,424,1.0,1.0,1.0
0,30,0,3,0,78,424,1.0,1.0,1.0
0,30,1,0,0,78,424,1.0,1.0,1.0
0,30,1,1,0,78,424,1.0,1.0,1.0
0,30,1,2,0,78,424,1.0,1.0,1.0
0,30,1,3,0,78,424,1.0,1.0,1.0
0,30,2,0,0,78,424,1.0,1.0,1.0
0,30,2,1,0,78,424,1.0,1.0,1.0
0,30,2,2,0,78,424,1.0,1.0,1.0
0,30,2,3,0,78,424,1.0,1.0,1.0
0,30,3,0,0,78,424,1.0,1.0,1.0
0,30,3,1,0,78,424,1.0,1.0,1.0
0,30,3,2,0,78,424,1.0,1.0,1.0
0,30,3,3,0,78,424,1.0,1.0,1.0
0,40,0,0,0,78,424,1.0,1.0,1.0
0,40,0,1,0,78,424,1.0,1.0,1.0
0,40,0,2,0,78,424,1.0,1.0,1.0
0,40,0,3,0,78,424,1.0,1.0,1.0
0,40,1,0,0,78,424,1.0,1.0,1.0
0,40,1,1,0,78,424,1.0,1.0,1.0
0,40,1,2,0,78,424,1.0,1.0,1.0
0,40,1,3,0,78,424,1.0,1.0,1.0
0,40,2,0,0,78,424,1.0,1.0,1.0
0,40,2,1,0,78,424,1.0,1.0,1.0
0,40,2,2,0,78,424,1.0,1.0,1.0
0,40,2,3,0,78,424,1.0,1.0,1.0
0,40,3,0,0,78,424,1.0,1.0,1.0
0,40,3,1,0,78,424,1.0,1.0,1.0
0,40,3,2,0,78,424,1.0,1.0,1.0
0,40,3,3,0,78,424,1.0,1.0,1.0
0,0,0,0,0,611,722,0.125,0.15625,0.125
0,0,0,1,0,611,722,0.125,0.125,0.125
0,0,0,2,0,611,722,0.125,0.125,0.125
0,0,0,3,0,611,722,0.125,0.125,0.125
0,0,1,0,0,611,722,0.15625,0.125,0.125
0,0,1,1,0,611,722,0.125,0.15625,0.125
0,0,1,2,0,611,722,0.125,0.125,0.15625
0,0,1,3,0,611,722,0.15625,0.125,0.125
0,0,2,0,0,611,722,0.125,0.125,0.125
0,0,2,1,0,611,722,0.125,0.125,0.125
0,0,2,2,0,611,722,0.15625,0.125,0.125
0,0,2,3,0,611,722,0.125,0.125,0.125
0,0,3,0,0,611,722,0.125,0.125,0.125
0,0,3,1,0,611,722,0.125,0.125,0.125
0,0,3,2,0,611,722,0.125,0.125,0.125
0,0,3,3,0,611,722,0.125,0.125,0.15625
0,10,0,0,0,611,722,1.0,1.0,1.0
0,10,0,1,0,611,722,1.0,1.0,1.0
0,10,0,2,0,611,722,1.0,1.0,1.0
0,10,0,3,0,611,722,1.0,1.0,1.0
0,10,1,0,0,611,722,1.0,1.0,1.0
0,10,1,1,0,611,722,1.0,1.0,1.0
0,10,1,2,0,611,722,1.0,1.0,1.0
0,10,1,3,0,611,722,1.0,1.0,1.0
0,10,2,0,0,611,722,1.0,1.0,1.0
0,10,2,1,0,611,722,1.0,1.0,1.0
0,10,2,2,0,611,722,1.0,1.0,1.0
0,10,2,3,0,611,722,1.0,1.0,1.0
0,10,3,0,0,611,722,1.0,1.0,1.0
0,10,3,1,0,611,722,1.0,1.0,1.0
0,10,3,2,0,611,722,1.0,1.0,1.0
0,10,3,3,0,611,722,1.0,1.0,1.0
0,20,0,0,0,611,722,1.0,1.0,1.0
0,20,0,1,0,611,722,1.0,1.0,1.0
0,20,0,2,0,611,722,1.0,1.0,1.0
0,20,0,3,0,611,722,1.0,1.0,1.0
0,20,1,0,0,611,722,1.0,1.0,1.0
0,20,1,1,0,611,722,1.0,1.0,1.0
0,20,1,2,0,611,722,1.0,1.0,1.0
0,20,1,3,0,611,722,1.0,1.0,1.0
0,20,2,0,0,611,722,1.0,1.0,1.0
0,20,2,1,0,611,722,1.0,1.0,1.0
0,20,2,2,0,611,722,1.0,1.0,1.0
0,20,2,3,0,611,722,1.0,1.0,1.0
0,20,3,0,0,611,722,1.0,1.0,1.0
0,20,3,1,0,611,722,1.0,1.0,1.0
0,20,3,2,0,611,722,1.0,1.0,1.0
0,20,3,3,0,611,722,1.0,1.0,1.0
0,30,0,0,0,611,722,1.0,1.0,1.0
0,30,0,1,0,611,722,1.0,1.0,1.0
0,30,0,2,0,611,722,1.0,1.0,1.0
0,30,0,3,0,611,722,1.0,1.0,1.0
0,30,1,0,0,611,722,1.0,1.0,1.0
0,30,1,1,0,611,722,1.0,1.0,1.0
0,30,1,2,0,611,722,1.0,1.0,1.0
0,30,1,3,0,611,722,1.0,1.0,1.0
0,30,2,0,0,611,722,1.0,1.0,1.0
0,30,2,1,0,611,722,1.0,1.0,1.0
0,30,2,2,0,611,722,1.0,1.0,1.0
0,30,2,3,0,611,722,1.0,1.0,1.0
0,30,3,0,0,611,722,1.0,1.0,1.0
0,30,3,1,0,611,722,1.0,1.0,1.0
0,30,3,2,0,611,722,1.0,1.0,1.0
0,30,3,3,0,611,722,1.0,1.0,1.0
0,40,0,0,0,611,722,1.0,1.0,1.0
0,40,0,1,0,611,722,1.0,1.0,1.0
0,40,0,2,0,611,722,1.0,1.0,1.0
0,40,0,3,0,611,722,1.0,1.0,1.0
0,40,1,0,0,611,722,1.0,1.0,1.0
0,40,1,1,0,611,722,1.0,1.0,1.0
0,40,1,2,0,611,722,1.0,1.0,1.0
0,40,1,3,0,611,722,1.0,1.0,1.0
0,40,2,0,0,611,722,1.0,1.0,1.0
0,40,2,1,0,611,722,1.0,1.0,1.0
0,40,2,2,0,611,722,1.0,1.0,1.0
0,40,2,3,0,611,722,1.0,1.0,1.0
0,40,3,0,0,611,722,1.0,1.0,1.0
0,40,3,1,0,611,722,1.0,1.0,1.0
0,40,3,2,0,611,722,1.0,1.0,1.0
0,40,3,3,0,611,722,1.0,1.0,1.0
0,0,0,0,0,161,440,0.125,0.125,0.125
0,0,0,1,0,161,440,0.125,0.125,0.125
0,0,0,2,0,161,440,0.125,0.15625,0.125
0,0,0,3,0,161,440,0.125,0.125,0.125
0,0,1,0,0,161,440,0.125,0.125,0.125
0,0,1,1,0,161,440,0.125,0.125,0.125
0,0,1,2,0,161,440,0.15625,0.125,0.125
0,0,1,3,0,161,440,0.15625,0.125,0.15625
0,0,2,0,0,161,440,0.125,0.125,0.125
0,0,2,1,0,161,440,0.125,0.125,0.125
0,0,2,2,0,161,440,0.125,0.125,0.125
0,0,2,3,0,161,440,0.125,0.125,0.125
0,0,3,0,0,161,440,0.125,0.125,0.125
0,0,3,1,0,161,440,0.125,0.125,0.125
0,0,3,2,0,161,440,0.125,0.125,0.125
0,0,3,3,0,161,440,0.15625,0.15625,0.125
0,10,0,0,0,161,440,1.0,1.0,1.0
0,10,0,1,0,161,440,1.0,1.0,1.0
0,10,0,2,0,161,440,1.0,1.0,1.0
0,10,0,3,0,161,440,1.0,1.0,1.0
0,10,1,0,0,161,440,1.0,1.0,1.0
0,10,1,1,0,161,440,1.0,1.0,1.0
0,10,1,2,0,161,440,1.0,1.0,1.0
0,10,1,3,0,161,440,1.0,1.0,1.0
0,10,2,0,0,161,440,1.0,1.0,1.0
0,10,2,1,0,161,440,1.0,1.0,1.0
0,10,2,2,0,161,440,1.0,1.0,1.0
0,10,2,3,0,161,440,1.0,1.0,1.0
0,10,3,0,0,161,440,1.0,1.0,1.0
0,10,3,1,0,161,440,1.0,1.0,1.0
0,10,3,2,0,161,440,1.0,1.0,1.0
0,10,3,3,0,161,440,1.0,1.0,1.0
0,20,0,0,0,161,440,1.0,1.0,1.0
0,20,0,1,0,161,440,1.0,1.0,1.0
0,20,0,2,0,161,440,1.0,1.0,1.0
0,20,0,3,0,161,440,1.0,1.0,1.0
0,20,1,0,0,161,440,1.0,1.0,1.0
0,20,1,1,0,161,440,1.0,1.0,1.0
0,20,1,2,0,161,440,1.0,1.0,1.0
0,20,1,3,0,161,440,1.0,1.0,1.0
0,20,2,0,0,161,440,1.0,1.0,1.0
0,20,2,1,0,161,440,1.0,1.0,1.0
0,20,2,2,0,161,440,1.0,1.0,1.0
0,20,2,3,0,161,440,1.0,1.0,1.0
0,20,3,0,0,161,440,1.0,1.0,1.0
0,20,3,1,0,161,440,1.0,1.0,1.0
0,20,3,2,0,161,440,1.0,1.0,1.0
0,20,3,3,0,161,440,1.0,1.0,1.0
0,30,0,0,0,161,440,1.0,1.0,1.0
0,30,0,1,0,161,440,1.0,1.0,1.0
0,30,0,2,0,161,440,1.0,1.0,1.0
0,30,0,3,0,161,440,1.0,1.0,1.0
0,30,1,0,0,161,440,1.0,1.0,1.0
0,30,1,1,0,161,440,1.0,1.0,1.0
0,30,1,2,0,161,440,1.0,1.0,1.0
0,30,1,3,0,161,440,1.0,1.0,1.0
0,30,2,0,0,161,440,1.0,1.0,1.0
0,30,2,1,0,161,440,1.0,1.0,1.0
0,30,2,2,0,161,440,1.0,1.0,1.0
0,30,2,3,0,161,440,1.0,1.0,1.0
0,30,3,0,0,161,440,1.0,1.0,1.0
0,30,3,1,0,161,440,1.0,1.0,1.0
0,30,3,2,0,161,440,1.0,1.0,1.0
0,30,3,3,0,161,440,1.0,1.0,1.0
0,40,0,0,0,161,440,1.0,1.0,1.0
0,40,0,1,0,161,440,1.0,1.0,1.0
0,40,0,2,0,161,440,1.0,1.0,1.0
0,40,0,3,0,161,440,1.0,1.0,1.0
0,40,1,0,0,161,440,1.0,1.0,1.0
0,40,1,1,0,161,440,1.0,1.0,1.0
0,40,1,2,0,161,440,1.0,1.0,1.0
0,40,1,3,0,161,440,1.0,1.0,1.0
0,40,2,0,0,161,440,1.0,1.0,1.0
0,40,2,1,0,161,440,1.0,1.0,1.0
0,40,2,2,0,161,440,1.0,1.0,1.0
0,40,2,3,0,161,440,1.0,1.0,1.0
0,40,3,0,0,161,440,1.0,1.0,1.0
0,40,3,1,0,161,440,1.0,1.0,1.0
0,40,3,2,0,161,440,1.0,1.0,1.0
0,40,3,3,0,161,440,1.0,1.0,1.0
0,0,0,0,0,129,642,0.125,0.125,0.15625
0,0,0,1,0,129,642,0.125,0.125,0.125
0,0,0,2,0,129,642,0.15625,0.125,0.125
0,0,0,3,0,129,642,0.125,0.15625,0.125
