,t_12,t_23,bank_id,s_id,r_first,r_second,all_0,all_1,random
0,10,2,3,0,32,408,1.0,1.0,1.0
0,10,3,0,0,32,408,1.0,1.0,1.0
0,10,3,1,0,32,408,1.0,1.0,1.0
0,10,3,2,0,32,408,1.0,1.0,1.0
0,10,3,3,0,32,408,1.0,1.0,1.0
0,20,0,0,0,32,408,1.0,1.0,1.0
0,20,0,1,0,32,408,1.0,1.0,1.0
0,20,0,2,0,32,408,1.0,1.0,1.0
0,20,0,3,0,32,408,1.0,1.0,1.0
0,20,1,0,0,32,408,1.0,1.0,1.0
0,20,1,1,0,32,408,1.0,1.0,1.0
0,20,1,2,0,32,408,1.0,1.0,1.0
0,20,1,3,0,32,408,1.0,1.0,1.0
0,20,2,0,0,32,408,1.0,1.0,1.0
0,20,2,1,0,32,408,1.0,1.0,1.0
0,20,2,2,0,32,408,1.0,1.0,1.0
0,20,2,3,0,32,408,1.0,1.0,1.0
0,20,3,0,0,32,408,1.0,1.0,1.0
0,20,3,1,0,32,408,1.0,1.0,1.0
0,20,3,2,0,32,408,1.0,1.0,1.0
0,20,3,3,0,32,408,1.0,1.0,1.0
0,30,0,0,0,32,408,1.0,1.0,1.0
0,30,0,1,0,32,408,1.0,1.0,1.0
0,30,0,2,0,32,408,1.0,1.0,1.0
0,30,0,3,0,32,408,1.0,1.0,1.0
0,30,1,0,0,32,408,1.0,1.0,1.0
0,30,1,1,0,32,408,1.0,1.0,1.0
0,30,1,2,0,32,408,1.0,1.0,1.0
0,30,1,3,0,32,408,1.0,1.0,1.0
0,30,2,0,0,32,408,1.0,1.0,1.0
0,30,2,1,0,32,408,1.0,1.0,1.0
0,30,2,2,0,32,408,1.0,1.0,1.0
0,30,2,3,0,32,408,1.0,1.0,1.0
0,30,3,0,0,32,408,1.0,1.0,1.0
0,30,3,1,0,32,408,1.0,1.0,1.0
0,30,3,2,0,32,408,1.0,1.0,1.0
0,30,3,3,0,32,408,1.0,1.0,1.0
0,40,0,0,0,32,408,1.0,1.0,1.0
0,40,0,1,0,32,408,1.0,1.0,1.0
0,40,0,2,0,32,408,1.0,1.0,1.0
0,40,0,3,0,32,408,1.0,1.0,1.0
0,40,1,0,0,32,408,1.0,1.0,1.0
0,40,1,1,0,32,408,1.0,1.0,1.0
0,40,1,2,0,32,408,1.0,1.0,1.0
0,40,1,3,0,32,408,1.0,1.0,1.0
0,40,2,0,0,32,408,1.0,1.0,1.0
0,40,2,1,0,32,408,1.0,1.0,1.0
0,40,2,2,0,32,408,1.0,1.0,1.0
0,40,2,3,0,32,408,1.0,1.0,1.0
0,40,3,0,0,32,408,1.0,1.0,1.0
0,40,3,1,0,32,408,1.0,1.0,1.0
0,40,3,2,0,32,408,1.0,1.0,1.0
0,40,3,3,0,32,408,1.0,1.0,1.0
0,0,0,0,0,378,510,0.25,0.25,0.25
0,0,0,1,0,378,510,0.25,0.25,0.25
0,0,0,2,0,378,510,0.3125,0.25,0.25
0,0,0,3,0,378,510,0.25,0.25,0.3125
0,0,1,0,0,378,510,0.3125,0.25,0.25
0,0,1,1,0,378,510,0.25,0.3125,0.25
0,0,1,2,0,378,510,0.25,0.25,0.25
0,0,1,3,0,378,510,0.25,0.25,0.25
0,0,2,0,0,378,510,0.25,0.25,0.25
0,0,2,1,0,378,510,0.25,0.25,0.25
0,0,2,2,0,378,510,0.25,0.25,0.25
0,0,2,3,0,378,510,0.25,0.25,0.25
0,0,3,0,0,378,510,0.25,0.25,0.25
0,0,3,1,0,378,510,0.25,0.25,0.25
0,0,3,2,0,378,510,0.3125,0.25,0.25
0,0,3,3,0,378,510,0.25,0.25,0.25
0,10,0,0,0,378,510,1.0,1.0,1.0
0,10,0,1,0,378,510,1.0,1.0,1.0
0,10,0,2,0,378,510,1.0,1.0,1.0
0,10,0,3,0,378,510,1.0,1.0,1.0
0,10,1,0,0,378,510,1.0,1.0,1.0
0,10,1,1,0,378,510,1.0,1.0,1.0
0,10,1,2,0,378,510,1.0,1.0,1.0
0,10,1,3,0,378,510,1.0,1.0,1.0
0,10,2,0,0,378,510,1.0,1.0,1.0
0,10,2,1,0,378,510,1.0,1.0,1.0
0,10,2,2,0,378,510,1.0,1.0,1.0
0,10,2,3,0,378,510,1.0,1.0,1.0
0,10,3,0,0,378,510,1.0,1.0,1.0
0,10,3,1,0,378,510,1.0,1.0,1.0
0,10,3,2,0,378,510,1.0,1.0,1.0
0,10,3,3,0,378,510,1.0,1.0,1.0
0,20,0,0,0,378,510,1.0,1.0,1.0
0,20,0,1,0,378,510,1.0,1.0,1.0
0,20,0,2,0,378,510,1.0,1.0,1.0
0,20,0,3,0,378,510,1.0,1.0,1.0
0,20,1,0,0,378,510,1.0,1.0,1.0
0,20,1,1,0,378,510,1.0,1.0,1.0
0,20,1,2,0,378,510,1.0,1.0,1.0
0,20,1,3,0,378,510,1.0,1.0,1.0
0,20,2,0,0,378,510,1.0,1.0,1.0
0,20,2,1,0,378,510,1.0,1.0,1.0
0,20,2,2,0,378,510,1.0,1.0,1.0
0,20,2,3,0,378,510,1.0,1.0,1.0
0,20,3,0,0,378,510,1.0,1.0,1.0
0,20,3,1,0,378,510,1.0,1.0,1.0
0,20,3,2,0,378,510,1.0,1.0,1.0
0,20,3,3,0,378,510,1.0,1.0,1.0
0,30,0,0,0,378,510,1.0,1.0,1.0
0,30,0,1,0,378,510,1.0,1.0,1.0
0,30,0,2,0,378,510,1.0,1.0,1.0
0,30,0,3,0,378,510,1.0,1.0,1.0
0,30,1,0,0,378,510,1.0,1.0,1.0
0,30,1,1,0,378,510,1.0,1.0,1.0
0,30,1,2,0,378,510,1.0,1.0,1.0
0,30,1,3,0,378,510,1.0,1.0,1.0
0,30,2,0,0,378,510,1.0,1.0,1.0
0,30,2,1,0,378,510,1.0,1.0,1.0
0,30,2,2,0,378,510,1.0,1.0,1.0
0,30,2,3,0,378,510,1.0,1.0,1.0
0,30,3,0,0,378,510,1.0,1.0,1.0
0,30,3,1,0,378,510,1.0,1.0,1.0
0,30,3,2,0,378,510,1.0,1.0,1.0
0,30,3,3,0,378,510,1.0,1.0,1.0
0,40,0,0,0,378,510,1.0,1.0,1.0
0,40,0,1,0,378,510,1.0,1.0,1.0
0,40,0,2,0,378,510,1.0,1.0,1.0
0,40,0,3,0,378,510,1.0,1.0,1.0
0,40,1,0,0,378,510,1.0,1.0,1.0
0,40,1,1,0,378,510,1.0,1.0,1.0
0,40,1,2,0,378,510,1.0,1.0,1.0
0,40,1,3,0,378,510,1.0,1.0,1.0
0,40,2,0,0,378,510,1.0,1.0,1.0
0,40,2,1,0,378,510,1.0,1.0,1.0
0,40,2,2,0,378,510,1.0,1.0,1.0
0,40,2,3,0,378,510,1.0,1.0,1.0
0,40,3,0,0,378,510,1.0,1.0,1.0
0,40,3,1,0,378,510,1.0,1.0,1.0
0,40,3,2,0,378,510,1.0,1.0,1.0
0,40,3,3,0,378,510,1.0,1.0,1.0
0,0,0,0,0,232,408,0.25,0.25,0.25
0,0,0,1,0,232,408,0.25,0.25,0.25
0,0,0,2,0,232,408,0.25,0.25,0.25
0,0,0,3,0,232,408,0.25,0.25,0.25
0,0,1,0,0,232,408,0.25,0.25,0.25
0,0,1,1,0,232,408,0.25,0.3125,0.25
0,0,1,2,0,232,408,0.25,0.25,0.25
0,0,1,3,0,232,408,0.25,0.25,0.25
0,0,2,0,0,232,408,0.25,0.25,0.25
0,0,2,1,0,232,408,0.25,0.25,0.25
0,0,2,2,0,232,408,0.25,0.25,0.25
0,0,2,3,0,232,408,0.25,0.25,0.25
0,0,3,0,0,232,408,0.25,0.25,0.25
0,0,3,1,0,232,408,0.25,0.25,0.25
0,0,3,2,0,232,408,0.25,0.25,0.25
0,0,3,3,0,232,408,0.25,0.25,0.3125
0,10,0,0,0,232,408,1.0,1.0,1.0
0,10,0,1,0,232,408,1.0,1.0,1.0
0,10,0,2,0,232,408,1.0,1.0,1.0
0,10,0,3,0,232,408,1.0,1.0,1.0
0,10,1,0,0,232,408,1.0,1.0,1.0
0,10,1,1,0,232,408,1.0,1.0,1.0
0,10,1,2,0,232,408,1.0,1.0,1.0
0,10,1,3,0,232,408,1.0,1.0,1.0
0,10,2,0,0,232,408,1.0,1.0,1.0
0,10,2,1,0,232,408,1.0,1.0,1.0
0,10,2,2,0,232,408,1.0,1.0,1.0
0,10,2,3,0,232,408,1.0,1.0,1.0
0,10,3,0,0,232,408,1.0,1.0,1.0
0,10,3,1,0,232,408,1.0,1.0,1.0
0,10,3,2,0,232,408,1.0,1.0,1.0
0,10,3,3,0,232,408,1.0,1.0,1.0
0,20,0,0,0,232,408,1.0,1.0,1.0
0,20,0,1,0,232,408,1.0,1.0,1.0
0,20,0,2,0,232,408,1.0,1.0,1.0
0,20,0,3,0,232,408,1.0,1.0,1.0
0,20,1,0,0,232,408,1.0,1.0,1.0
0,20,1,1,0,232,408,1.0,1.0,1.0
0,20,1,2,0,232,408,1.0,1.0,1.0
0,20,1,3,0,232,408,1.0,1.0,1.0
0,20,2,0,0,232,408,1.0,1.0,1.0
0,20,2,1,0,232,408,1.0,1.0,1.0
0,20,2,2,0,232,408,1.0,1.0,1.0
0,20,2,3,0,232,408,1.0,1.0,1.0
0,20,3,0,0,232,408,1.0,1.0,1.0
0,20,3,1,0,232,408,1.0,1.0,1.0
0,20,3,2,0,232,408,1.0,1.0,1.0
0,20,3,3,0,232,408,1.0,1.0,1.0
0,30,0,0,0,232,408,1.0,1.0,1.0
0,30,0,1,0,232,408,1.0,1.0,1.0
0,30,0,2,0,232,408,1.0,1.0,1.0
0,30,0,3,0,232,408,1.0,1.0,1.0
0,30,1,0,0,232,408,1.0,1.0,1.0
0,30,1,1,0,232,408,1.0,1.0,1.0
0,30,1,2,0,232,408,1.0,1.0,1.0
0,30,1,3,0,232,408,1.0,1.0,1.0
0,30,2,0,0,232,408,1.0,1.0,1.0
0,30,2,1,0,232,408,1.0,1.0,1.0
0,30,2,2,0,232,408,1.0,1.0,1.0
0,30,2,3,0,232,408,1.0,1.0,1.0
0,30,3,0,0,232,408,1.0,1.0,1.0
0,30,3,1,0,232,408,1.0,1.0,1.0
0,30,3,2,0,232,408,1.0,1.0,1.0
0,30,3,3,0,232,408,1.0,1.0,1.0
0,40,0,0,0,232,408,1.0,1.0,1.0
0,40,0,1,0,232,408,1.0,1.0,1.0
0,40,0,2,0,232,408,1.0,1.0,1.0
0,40,0,3,0,232,408,1.0,1.0,1.0
0,40,1,0,0,232,408,1.0,1.0,1.0
0,40,1,1,0,232,408,1.0,1.0,1.0
0,40,1,2,0,232,408,1.0,1.0,1.0
0,40,1,3,0,232,408,1.0,1.0,1.0
0,40,2,0,0,232,408,1.0,1.0,1.0
0,40,2,1,0,232,408,1.0,1.0,1.0
0,40,2,2,0,232,408,1.0,1.0,1.0
0,40,2,3,0,232,408,1.0,1.0,1.0
0,40,3,0,0,232,408,1.0,1.0,1.0
0,40,3,1,0,232,408,1.0,1.0,1.0
0,40,3,2,0,232,408,1.0,1.0,1.0
0,40,3,3,0,232,408,1.0,1.0,1.0
0,0,0,0,0,120,600,0.25,0.25,0.25
0,0,0,1,0,120,600,0.25,0.25,0.3125
0,0,0,2,0,120,600,0.25,0.25,0.25
0,0,0,3,0,120,600,0.25,0.25,0.25
0,0,1,0,0,120,600,0.25,0.25,0.25
0,0,1,1,0,120,600,0.25,0.25,0.25
0,0,1,2,0,120,600,0.25,0.25,0.25
0,0,1,3,0,120,600,0.25,0.25,0.25
0,0,2,0,0,120,600,0.25,0.25,0.25
0,0,2,1,0,120,600,0.25,0.25,0.25
0,0,2,2,0,120,600,0.25,0.25,0.25
0,0,2,3,0,120,600,0.25,0.25,0.25
0,0,3,0,0,120,600,0.3125,0.25,0.25
0,0,3,1,0,120,600,0.25,0.25,0.25
0,0,3,2,0,120,600,0.25,0.25,0.25
0,0,3,3,0,120,600,0.25,0.25,0.25
0,10,0,0,0,120,600,1.0,1.0,1.0
0,10,0,1,0,120,600,1.0,1.0,1.0
0,10,0,2,0,120,600,1.0,1.0,1.0
0,10,0,3,0,120,600,1.0,1.0,1.0
0,10,1,0,0,120,600,1.0,1.0,1.0
0,10,1,1,0,120,600,1.0,1.0,1.0
0,10,1,2,0,120,600,1.0,1.0,1.0
0,10,1,3,0,120,600,1.0,1.0,1.0
0,10,2,0,0,120,600,1.0,1.0,1.0
0,10,2,1,0,120,600,1.0,1.0,1.0
0,10,2,2,0,120,600,1.0,1.0,1.0
0,10,2,3,0,120,600,1.0,1.0,1.0
0,10,3,0,0,120,600,1.0,1.0,1.0
0,10,3,1,0,120,600,1.0,1.0,1.0
0,10,3,2,0,120,600,1.0,1.0,1.0
0,10,3,3,0,120,600,1.0,1.0,1.0
0,20,0,0,0,120,600,1.0,1.0,1.0
0,20,0,1,0,120,600,1.0,1.0,1.0
0,20,0,2,0,120,600,1.0,1.0,1.0
0,20,0,3,0,120,600,1.0,1.0,1.0
0,20,1,0,0,120,600,1.0,1.0,1.0
0,20,1,1,0,120,600,1.0,1.0,1.0
0,20,1,2,0,120,600,1.0,1.0,1.0
0,20,1,3,0,120,600,1.0,1.0,1.0
0,20,2,0,0,120,600,1.0,1.0,1.0
0,20,2,1,0,120,600,1.0,1.0,1.0
0,20,2,2,0,120,600,1.0,1.0,1.0
0,20,2,3,0,120,600,1.0,1.0,1.0
0,20,3,0,0,120,600,1.0,1.0,1.0
0,20,3,1,0,120,600,1.0,1.0,1.0
0,20,3,2,0,120,600,1.0,1.0,1.0
0,20,3,3,0,120,600,1.0,1.0,1.0
0,30,0,0,0,120,600,1.0,1.0,1.0
0,30,0,1,0,120,600,1.0,1.0,1.0
0,30,0,2,0,120,600,1.0,1.0,1.0
0,30,0,3,0,120,600,1.0,1.0,1.0
0,30,1,0,0,120,600,1.0,1.0,1.0
0,30,1,1,0,120,600,1.0,1.0,1.0
0,30,1,2,0,120,600,1.0,1.0,1.0
0,30,1,3,0,120,600,1.0,1.0,1.0
0,30,2,0,0,120,600,1.0,1.0,1.0
0,30,2,1,0,120,600,1.0,1.0,1.0
0,30,2,2,0,120,600,1.0,1.0,1.0
0,30,2,3,0,120,600,1.0,1.0,1.0
0,30,3,0,0,120,600,1.0,1.0,1.0
0,30,3,1,0,120,600,1.0,1.0,1.0
0,30,3,2,0,120,600,1.0,1.0,1.0
0,30,3,3,0,120,600,1.0,1.0,1.0
0,40,0,0,0,120,600,1.0,1.0,1.0
0,40,0,1,0,120,600,1.0,1.0,1.0
0,40,0,2,0,120,600,1.0,1.0,1.0
0,40,0,3,0,120,600,1.0,1.0,1.0
0,40,1,0,0,120,600,1.0,1.0,1.0
0,40,1,1,0,120,600,1.0,1.0,1.0
0,40,1,2,0,120,600,1.0,1.0,1.0
0,40,1,3,0,120,600,1.0,1.0,1.0
0,40,2,0,0,120,600,1.0,1.0,1.0
0,40,2,1,0,120,600,1.0,1.0,1.0
0,40,2,2,0,120,600,1.0,1.0,1.0
0,40,2,3,0,120,600,1.0,1.0,1.0
0,40,3,0,0,120,600,1.0,1.0,1.0
0,40,3,1,0,120,600,1.0,1.0,1.0
0,40,3,2,0,120,600,1.0,1.0,1.0
0,40,3,3,0,120,600,1.0,1.0,1.0
0,0,0,0,0,356,428,0.25,0.25,0.25
0,0,0,1,0,356,428,0.25,0.25,0.25
0,0,0,2,0,356,428,0.3125,0.25,0.25
0,0,0,3,0,356,428,0.25,0.25,0.25
0,0,1,0,0,356,428,0.25,0.25,0.25
0,0,1,1,0,356,428,0.25,0.25,0.25
0,0,1,2,0,356,428,0.25,0.3125,0.25
0,0,1,3,0,356,428,0.25,0.25,0.25
0,0,2,0,0,356,428,0.25,0.25,0.25
0,0,2,1,0,356,428,0.25,0.25,0.25
0,0,2,2,0,356,428,0.25,0.25,0.25
0,0,2,3,0,356,428,0.25,0.25,0.25
0,0,3,0,0,356,428,0.25,0.25,0.25
0,0,3,1,0,356,428,0.25,0.25,0.25
0,0,3,2,0,356,428,0.25,0.25,0.25
0,0,3,3,0,356,428,0.25,0.25,0.25
0,10,0,0,0,356,428,1.0,1.0,1.0
0,10,0,1,0,356,428,1.0,1.0,1.0
0,10,0,2,0,356,428,1.0,1.0,1.0
0,10,0,3,0,356,428,1.0,1.0,1.0
0,10,1,0,0,356,428,1.0,1.0,1.0
0,10,1,1,0,356,428,1.0,1.0,1.0
0,10,1,2,0,356,428,1.0,1.0,1.0
0,10,1,3,0,356,428,1.0,1.0,1.0
0,10,2,0,0,356,428,1.0,1.0,1.0
0,10,2,1,0,356,428,1.0,1.0,1.0
0,10,2,2,0,356,428,1.0,1.0,1.0
0,10,2,3,0,356,428,1.0,1.0,1.0
0,10,3,0,0,356,428,1.0,1.0,1.0
0,10,3,1,0,356,428,1.0,1.0,1.0
0,10,3,2,0,356,428,1.0,1.0,1.0
0,10,3,3,0,356,428,1.0,1.0,1.0
0,20,0,0,0,356,428,1.0,1.0,1.0
0,20,0,1,0,356,428,1.0,1.0,1.0
0,20,0,2,0,356,428,1.0,1.0,1.0
0,20,0,3,0,356,428,1.0,1.0,1.0
0,20,1,0,0,356,428,1.0,1.0,1.0
0,20,1,1,0,356,428,1.0,1.0,1.0
0,20,1,2,0,356,428,1.0,1.0,1.0
0,20,1,3,0,356,428,1.0,1.0,1.0
0,20,2,0,0,356,428,1.0,1.0,1.0
0,20,2,1,0,356,428,1.0,1.0,1.0
0,20,2,2,0,356,428,1.0,1.0,1.0
0,20,2,3,0,356,428,1.0,1.0,1.0
0,20,3,0,0,356,428,1.0,1.0,1.0
0,20,3,1,0,356,428,1.0,1.0,1.0
0,20,3,2,0,356,428,1.0,1.0,1.0
0,20,3,3,0,356,428,1.0,1.0,1.0
0,30,0,0,0,356,428,1.0,1.0,1.0
0,30,0,1,0,356,428,1.0,1.0,1.0
0,30,0,2,0,356,428,1.0,1.0,1.0
0,30,0,3,0,356,428,1.0,1.0,1.0
0,30,1,0,0,356,428,1.0,1.0,1.0
0,30,1,1,0,356,428,1.0,1.0,1.0
0,30,1,2,0,356,428,1.0,1.0,1.0
0,30,1,3,0,356,428,1.0,1.0,1.0
0,30,2,0,0,356,428,1.0,1.0,1.0
0,30,2,1,0,356,428,1.0,1.0,1.0
0,30,2,2,0,356,428,1.0,1.0,1.0
0,30,2,3,0,356,428,1.0,1.0,1.0
0,30,3,0,0,356,428,1.0,1.0,1.0
0,30,3,1,0,356,428,1.0,1.0,1.0
0,30,3,2,0,356,428,1.0,1.0,1.0
0,30,3,3,0,356,428,1.0,1.0,1.0
0,40,0,0,0,356,428,1.0,1.0,1.0
0,40,0,1,0,356,428,1.0,1.0,1.0
0,40,0,2,0,356,428,1.0,1.0,1.0
0,40,0,3,0,356,428,1.0,1.0,1.0
0,40,1,0,0,356,428,1.0,1.0,1.0
0,40,1,1,0,356,428,1.0,1.0,1.0
0,40,1,2,0,356,428,1.0,1.0,1.0
0,40,1,3,0,356,428,1.0,1.0,1.0
0,40,2,0,0,356,428,1.0,1.0,1.0
0,40,2,1,0,356,428,1.0,1.0,1.0
0,40,2,2,0,356,428,1.0,1.0,1.0
0,40,2,3,0,356,428,1.0,1.0,1.0
0,40,3,0,0,356,428,1.0,1.0,1.0
0,40,3,1,0,356,428,1.0,1.0,1.0
0,40,3,2,0,356,428,1.0,1.0,1.0
0,40,3,3,0,356,428,1.0,1.0,1.0
0,0,0,0,0,784,810,0.25,0.25,0.25
0,0,0,1,0,784,810,0.25,0.25,0.25
0,0,0,2,0,784,810,0.25,0.25,0.25
0,0,0,3,0,784,810,0.25,0.25,0.25
0,0,1,0,0,784,810,0.25,0.25,0.25
0,0,1,1,0,784,810,0.25,0.25,0.25
0,0,1,2,0,784,810,0.25,0.25,0.25
0,0,1,3,0,784,810,0.25,0.25,0.25
0,0,2,0,0,784,810,0.25,0.25,0.25
0,0,2,1,0,784,810,0.3125,0.25,0.25
0,0,2,2,0,784,810,0.25,0.25,0.25
0,0,2,3,0,784,810,0.25,0.25,0.25
0,0,3,0,0,784,810,0.25,0.25,0.25
0,0,3,1,0,784,810,0.25,0.25,0.25
0,0,3,2,0,784,810,0.3125,0.25,0.25
0,0,3,3,0,784,810,0.25,0.25,0.25
0,10,0,0,0,784,810,1.0,1.0,1.0
0,10,0,1,0,784,810,1.0,1.0,1.0
0,10,0,2,0,784,810,1.0,1.0,1.0
0,10,0,3,0,784,810,1.0,1.0,1.0
0,10,1,0,0,784,810,1.0,1.0,1.0
0,10,1,1,0,784,810,1.0,1.0,1.0
0,10,1,2,0,784,810,1.0,1.0,1.0
0,10,1,3,0,784,810,1.0,1.0,1.0
0,10,2,0,0,784,810,1.0,1.0,1.0
0,10,2,1,0,784,810,1.0,1.0,1.0
0,10,2,2,0,784,810,1.0,1.0,1.0
0,10,2,3,0,784,810,1.0,1.0,1.0
0,10,3,0,0,784,810,1.0,1.0,1.0
0,10,3,1,0,784,810,1.0,1.0,1.0
0,10,3,2,0,784,810,1.0,1.0,1.0
0,10,3,3,0,784,810,1.0,1.0,1.0
0,20,0,0,0,784,810,1.0,1.0,1.0
0,20,0,1,0,784,810,1.0,1.0,1.0
0,20,0,2,0,784,810,1.0,1.0,1.0
0,20,0,3,0,784,810,1.0,1.0,1.0
0,20,1,0,0,784,810,1.0,1.0,1.0
0,20,1,1,0,784,810,1.0,1.0,1.0
0,20,1,2,0,784,810,1.0,1.0,1.0
0,20,1,3,0,784,810,1.0,1.0,1.0
0,20,2,0,0,784,810,1.0,1.0,1.0
0,20,2,1,0,784,810,1.0,1.0,1.0
0,20,2,2,0,784,810,1.0,1.0,1.0
0,20,2,3,0,784,810,1.0,1.0,1.0
0,20,3,0,0,784,810,1.0,1.0,1.0
0,20,3,1,0,784,810,1.0,1.0,1.0
0,20,3,2,0,784,810,1.0,1.0,1.0
0,20,3,3,0,784,810,1.0,1.0,1.0
0,30,0,0,0,784,810,1.0,1.0,1.0
0,30,0,1,0,784,810,1.0,1.0,1.0
0,30,0,2,0,784,810,1.0,1.0,1.0
0,30,0,3,0,784,810,1.0,1.0,1.0
0,30,1,0,0,784,810,1.0,1.0,1.0
0,30,1,1,0,784,810,1.0,1.0,1.0
0,30,1,2,0,784,810,1.0,1.0,1.0
0,30,1,3,0,784,810,1.0,1.0,1.0
0,30,2,0,0,784,810,1.0,1.0,1.0
0,30,2,1,0,784,810,1.0,1.0,1.0
0,30,2,2,0,784,810,1.0,1.0,1.0
0,30,2,3,0,784,810,1.0,1.0,1.0
0,30,3,0,0,784,810,1.0,1.0,1.0
0,30,3,1,0,784,810,1.0,1.0,1.0
0,30,3,2,0,784,810,1.0,1.0,1.0
0,30,3,3,0,784,810,1.0,1.0,1.0
0,40,0,0,0,784,810,1.0,1.0,1.0
0,40,0,1,0,784,810,1.0,1.0,1.0
0,40,0,2,0,784,810,1.0,1.0,1.0
0,40,0,3,0,784,810,1.0,1.0,1.0
0,40,1,0,0,784,810,1.0,1.0,1.0
0,40,1,1,0,784,810,1.0,1.0,1.0
0,40,1,2,0,784,810,1.0,1.0,1.0
0,40,1,3,0,784,810,1.0,1.0,1.0
0,40,2,0,0,784,810,1.0,1.0,1.0
0,40,2,1,0,784,810,1.0,1.0,1.0
0,40,2,2,0,784,810,1.0,1.0,1.0
0,40,2,3,0,784,810,1.0,1.0,1.0
0,40,3,0,0,784,810,1.0,1.0,1.0
0,40,3,1,0,784,810,1.0,1.0,1.0
0,40,3,2,0,784,810,1.0,1.0,1.0
0,40,3,3,0,784,810,1.0,1.0,1.0
0,0,0,0,0,180,292,0.25,0.25,0.25
0,0,0,1,0,180,292,0.25,0.25,0.25
0,0,0,2,0,180,292,0.25,0.25,0.25
0,0,0,3,0,180,292,0.25,0.25,0.25
0,0,1,0,0,180,292,0.25,0.3125,0.25
0,0,1,1,0,180,292,0.25,0.25,0.25
0,0,1,2,0,180,292,0.25,0.3125,0.25
0,0,1,3,0,180,292,0.25,0.25,0.25
0,0,2,0,0,180,292,0.25,0.25,0.25
0,0,2,1,0,180,292,0.25,0.25,0.25
0,0,2,2,0,180,292,0.25,0.25,0.25
0,0,2,3,0,180,292,0.25,0.25,0.25
0,0,3,0,0,180,292,0.25,0.25,0.25
0,0,3,1,0,180,292,0.25,0.25,0.25
0,0,3,2,0,180,292,0.25,0.25,0.25
0,0,3,3,0,180,292,0.25,0.25,0.25
0,10,0,0,0,180,292,1.0,1.0,1.0
0,10,0,1,0,180,292,1.0,1.0,1.0
0,10,0,2,0,180,292,1.0,1.0,1.0
0,10,0,3,0,180,292,1.0,1.0,1.0
0,10,1,0,0,180,292,1.0,1.0,1.0
0,10,1,1,0,180,292,1.0,1.0,1.0
0,10,1,2,0,180,292,1.0,1.0,1.0
0,10,1,3,0,180,292,1.0,1.0,1.0
0,10,2,0,0,180,292,1.0,1.0,1.0
0,10,2,1,0,180,292,1.0,1.0,1.0
0,10,2,2,0,180,292,1.0,1.0,1.0
0,10,2,3,0,180,292,1.0,1.0,1.0
0,10,3,0,0,180,292,1.0,1.0,1.0
0,10,3,1,0,180,292,1.0,1.0,1.0
0,10,3,2,0,180,292,1.0,1.0,1.0
0,10,3,3,0,180,292,1.0,1.0,1.0
0,20,0,0,0,180,292,1.0,1.0,1.0
0,20,0,1,0,180,292,1.0,1.0,1.0
0,20,0,2,0,180,292,1.0,1.0,1.0
0,20,0,3,0,180,292,1.0,1.0,1.0
0,20,1,0,0,180,292,1.0,1.0,1.0
0,20,1,1,0,180,292,1.0,1.0,1.0
0,20,1,2,0,180,292,1.0,1.0,1.0
0,20,1,3,0,180,292,1.0,1.0,1.0
0,20,2,0,0,180,292,1.0,1.0,1.0
0,20,2,1,0,180,292,1.0,1.0,1.0
0,20,2,2,0,180,292,1.0,1.0,1.0
0,20,2,3,0,180,292,1.0,1.0,1.0
0,20,3,0,0,180,292,1.0,1.0,1.0
0,20,3,1,0,180,292,1.0,1.0,1.0
0,20,3,2,0,180,292,1.0,1.0,1.0
0,20,3,3,0,180,292,1.0,1.0,1.0
0,30,0,0,0,180,292,1.0,1.0,1.0
0,30,0,1,0,180,292,1.0,1.0,1.0
0,30,0,2,0,180,292,1.0,1.0,1.0
0,30,0,3,0,180,292,1.0,1.0,1.0
0,30,1,0,0,180,292,1.0,1.0,1.0
0,30,1,1,0,180,292,1.0,1.0,1.0
0,30,1,2,0,180,292,1.0,1.0,1.0
0,30,1,3,0,180,292,1.0,1.0,1.0
0,30,2,0,0,180,292,1.0,1.0,1.0
0,30,2,1,0,180,292,1.0,1.0,1.0
0,30,2,2,0,180,292,1.0,1.0,1.0
0,30,2,3,0,180,292,1.0,1.0,1.0
0,30,3,0,0,180,292,1.0,1.0,1.0
0,30,3,1,0,180,292,1.0,1.0,1.0
0,30,3,2,0,180,292,1.0,1.0,1.0
0,30,3,3,0,180,292,1.0,1.0,1.0
0,40,0,0,0,180,292,1.0,1.0,1.0
0,40,0,1,0,180,292,1.0,1.0,1.0
0,40,0,2,0,180,292,1.0,1.0,1.0
0,40,0,3,0,180,292,1.0,1.0,1.0
0,40,1,0,0,180,292,1.0,1.0,1.0
0,40,1,1,0,180,292,1.0,1.0,1.0
0,40,1,2,0,180,292,1.0,1.0,1.0
0,40,1,3,0,180,292,1.0,1.0,1.0
0,40,2,0,0,180,292,1.0,1.0,1.0
0,40,2,1,0,180,292,1.0,1.0,1.0
0,40,2,2,0,180,292,1.0,1.0,1.0
0,40,2,3,0,180,292,1.0,1.0,1.0
0,40,3,0,0,180,292,1.0,1.0,1.0
0,40,3,1,0,180,292,1.0,1.0,1.0
0,40,3,2,0,180,292,1.0,1.0,1.0
0,40,3,3,0,180,292,1.0,1.0,1.0
0,0,0,0,0,67,386,0.25,0.25,0.25
0,0,0,1,0,67,386,0.25,0.25,0.25
0,0,0,2,0,67,386,0.25,0.25,0.25
