,t_12,t_23,bank_id,s_id,r_first,r_second,all_0,all_1,random
0,40,0,3,0,50,726,1.0,1.0,1.0
0,40,1,0,0,50,726,1.0,1.0,1.0
0,40,1,1,0,50,726,1.0,1.0,1.0
0,40,1,2,0,50,726,1.0,1.0,1.0
0,40,1,3,0,50,726,1.0,1.0,1.0
0,40,2,0,0,50,726,1.0,1.0,1.0
0,40,2,1,0,50,726,1.0,1.0,1.0
0,40,2,2,0,50,726,1.0,1.0,1.0
0,40,2,3,0,50,726,1.0,1.0,1.0
0,40,3,0,0,50,726,1.0,1.0,1.0
0,40,3,1,0,50,726,1.0,1.0,1.0
0,40,3,2,0,50,726,1.0,1.0,1.0
0,40,3,3,0,50,726,1.0,1.0,1.0
0,0,0,0,0,131,799,0.0625,0.0625,0.0625
0,0,0,1,0,131,799,0.0625,0.0625,0.0625
0,0,0,2,0,131,799,0.078125,0.0625,0.0625
0,0,0,3,0,131,799,0.078125,0.0625,0.0625
0,0,1,0,0,131,799,0.0625,0.0625,0.078125
0,0,1,1,0,131,799,0.078125,0.0625,0.0625
0,0,1,2,0,131,799,0.0625,0.0625,0.0625
0,0,1,3,0,131,799,0.078125,0.0625,0.078125
0,0,2,0,0,131,799,0.0625,0.078125,0.0625
0,0,2,1,0,131,799,0.078125,0.0625,0.0625
0,0,2,2,0,131,799,0.0625,0.0625,0.0625
0,0,2,3,0,131,799,0.0625,0.0625,0.078125
0,0,3,0,0,131,799,0.0625,0.0625,0.0625
0,0,3,1,0,131,799,0.0625,0.0625,0.0625
0,0,3,2,0,131,799,0.0625,0.0625,0.078125
0,0,3,3,0,131,799,0.0625,0.0625,0.078125
0,10,0,0,0,131,799,1.0,1.0,1.0
0,10,0,1,0,131,799,1.0,1.0,1.0
0,10,0,2,0,131,799,1.0,1.0,1.0
0,10,0,3,0,131,799,1.0,1.0,1.0
0,10,1,0,0,131,799,1.0,1.0,1.0
0,10,1,1,0,131,799,1.0,1.0,1.0
0,10,1,2,0,131,799,1.0,1.0,1.0
0,10,1,3,0,131,799,1.0,1.0,1.0
0,10,2,0,0,131,799,1.0,1.0,1.0
0,10,2,1,0,131,799,1.0,1.0,1.0
0,10,2,2,0,131,799,1.0,1.0,1.0
0,10,2,3,0,131,799,1.0,1.0,1.0
0,10,3,0,0,131,799,1.0,1.0,1.0
0,10,3,1,0,131,799,1.0,1.0,1.0
0,10,3,2,0,131,799,1.0,1.0,1.0
0,10,3,3,0,131,799,1.0,1.0,1.0
0,20,0,0,0,131,799,1.0,1.0,1.0
0,20,0,1,0,131,799,1.0,1.0,1.0
0,20,0,2,0,131,799,1.0,1.0,1.0
0,20,0,3,0,131,799,1.0,1.0,1.0
0,20,1,0,0,131,799,1.0,1.0,1.0
0,20,1,1,0,131,799,1.0,1.0,1.0
0,20,1,2,0,131,799,1.0,1.0,1.0
0,20,1,3,0,131,799,1.0,1.0,1.0
0,20,2,0,0,131,799,1.0,1.0,1.0
0,20,2,1,0,131,799,1.0,1.0,1.0
0,20,2,2,0,131,799,1.0,1.0,1.0
0,20,2,3,0,131,799,1.0,1.0,1.0
0,20,3,0,0,131,799,1.0,1.0,1.0
0,20,3,1,0,131,799,1.0,1.0,1.0
0,20,3,2,0,131,799,1.0,1.0,1.0
0,20,3,3,0,131,799,1.0,1.0,1.0
0,30,0,0,0,131,799,1.0,1.0,1.0
0,30,0,1,0,131,799,1.0,1.0,1.0
0,30,0,2,0,131,799,1.0,1.0,1.0
0,30,0,3,0,131,799,1.0,1.0,1.0
0,30,1,0,0,131,799,1.0,1.0,1.0
0,30,1,1,0,131,799,1.0,1.0,1.0
0,30,1,2,0,131,799,1.0,1.0,1.0
0,30,1,3,0,131,799,1.0,1.0,1.0
0,30,2,0,0,131,799,1.0,1.0,1.0
0,30,2,1,0,131,799,1.0,1.0,1.0
0,30,2,2,0,131,799,1.0,1.0,1.0
0,30,2,3,0,131,799,1.0,1.0,1.0
0,30,3,0,0,131,799,1.0,1.0,1.0
0,30,3,1,0,131,799,1.0,1.0,1.0
0,30,3,2,0,131,799,1.0,1.0,1.0
0,30,3,3,0,131,799,1.0,1.0,1.0
0,40,0,0,0,131,799,1.0,1.0,1.0
0,40,0,1,0,131,799,1.0,1.0,1.0
0,40,0,2,0,131,799,1.0,1.0,1.0
0,40,0,3,0,131,799,1.0,1.0,1.0
0,40,1,0,0,131,799,1.0,1.0,1.0
0,40,1,1,0,131,799,1.0,1.0,1.0
0,40,1,2,0,131,799,1.0,1.0,1.0
0,40,1,3,0,131,799,1.0,1.0,1.0
0,40,2,0,0,131,799,1.0,1.0,1.0
0,40,2,1,0,131,799,1.0,1.0,1.0
0,40,2,2,0,131,799,1.0,1.0,1.0
0,40,2,3,0,131,799,1.0,1.0,1.0
0,40,3,0,0,131,799,1.0,1.0,1.0
0,40,3,1,0,131,799,1.0,1.0,1.0
0,40,3,2,0,131,799,1.0,1.0,1.0
0,40,3,3,0,131,799,1.0,1.0,1.0
0,0,0,0,0,254,600,0.0625,0.0625,0.0625
0,0,0,1,0,254,600,0.0625,0.0625,0.078125
0,0,0,2,0,254,600,0.09375,0.0625,0.078125
0,0,0,3,0,254,600,0.0625,0.0625,0.0625
0,0,1,0,0,254,600,0.0625,0.0625,0.078125
0,0,1,1,0,254,600,0.0625,0.078125,0.0625
0,0,1,2,0,254,600,0.078125,0.0625,0.0625
0,0,1,3,0,254,600,0.0625,0.09375,0.09375
0,0,2,0,0,254,600,0.0625,0.0625,0.0625
0,0,2,1,0,254,600,0.0625,0.0625,0.078125
0,0,2,2,0,254,600,0.078125,0.0625,0.0625
0,0,2,3,0,254,600,0.078125,0.0625,0.0625
0,0,3,0,0,254,600,0.078125,0.078125,0.078125
0,0,3,1,0,254,600,0.0625,0.0625,0.0625
0,0,3,2,0,254,600,0.078125,0.0625,0.0625
0,0,3,3,0,254,600,0.0625,0.0625,0.0625
0,10,0,0,0,254,600,1.0,1.0,1.0
0,10,0,1,0,254,600,1.0,1.0,1.0
0,10,0,2,0,254,600,1.0,1.0,1.0
0,10,0,3,0,254,600,1.0,1.0,1.0
0,10,1,0,0,254,600,1.0,1.0,1.0
0,10,1,1,0,254,600,1.0,1.0,1.0
0,10,1,2,0,254,600,1.0,1.0,1.0
0,10,1,3,0,254,600,1.0,1.0,1.0
0,10,2,0,0,254,600,1.0,1.0,1.0
0,10,2,1,0,254,600,1.0,1.0,1.0
0,10,2,2,0,254,600,1.0,1.0,1.0
0,10,2,3,0,254,600,1.0,1.0,1.0
0,10,3,0,0,254,600,1.0,1.0,1.0
0,10,3,1,0,254,600,1.0,1.0,1.0
0,10,3,2,0,254,600,1.0,1.0,1.0
0,10,3,3,0,254,600,1.0,1.0,1.0
0,20,0,0,0,254,600,1.0,1.0,1.0
0,20,0,1,0,254,600,1.0,1.0,1.0
0,20,0,2,0,254,600,1.0,1.0,1.0
0,20,0,3,0,254,600,1.0,1.0,1.0
0,20,1,0,0,254,600,1.0,1.0,1.0
0,20,1,1,0,254,600,1.0,1.0,1.0
0,20,1,2,0,254,600,1.0,1.0,1.0
0,20,1,3,0,254,600,1.0,1.0,1.0
0,20,2,0,0,254,600,1.0,1.0,1.0
0,20,2,1,0,254,600,1.0,1.0,1.0
0,20,2,2,0,254,600,1.0,1.0,1.0
0,20,2,3,0,254,600,1.0,1.0,1.0
0,20,3,0,0,254,600,1.0,1.0,1.0
0,20,3,1,0,254,600,1.0,1.0,1.0
0,20,3,2,0,254,600,1.0,1.0,1.0
0,20,3,3,0,254,600,1.0,1.0,1.0
0,30,0,0,0,254,600,1.0,1.0,1.0
0,30,0,1,0,254,600,1.0,1.0,1.0
0,30,0,2,0,254,600,1.0,1.0,1.0
0,30,0,3,0,254,600,1.0,1.0,1.0
0,30,1,0,0,254,600,1.0,1.0,1.0
0,30,1,1,0,254,600,1.0,1.0,1.0
0,30,1,2,0,254,600,1.0,1.0,1.0
0,30,1,3,0,254,600,1.0,1.0,1.0
0,30,2,0,0,254,600,1.0,1.0,1.0
0,30,2,1,0,254,600,1.0,1.0,1.0
0,30,2,2,0,254,600,1.0,1.0,1.0
0,30,2,3,0,254,600,1.0,1.0,1.0
0,30,3,0,0,254,600,1.0,1.0,1.0
0,30,3,1,0,254,600,1.0,1.0,1.0
0,30,3,2,0,254,600,1.0,1.0,1.0
0,30,3,3,0,254,600,1.0,1.0,1.0
0,40,0,0,0,254,600,1.0,1.0,1.0
0,40,0,1,0,254,600,1.0,1.0,1.0
0,40,0,2,0,254,600,1.0,1.0,1.0
0,40,0,3,0,254,600,1.0,1.0,1.0
0,40,1,0,0,254,600,1.0,1.0,1.0
0,40,1,1,0,254,600,1.0,1.0,1.0
0,40,1,2,0,254,600,1.0,1.0,1.0
0,40,1,3,0,254,600,1.0,1.0,1.0
0,40,2,0,0,254,600,1.0,1.0,1.0
0,40,2,1,0,254,600,1.0,1.0,1.0
0,40,2,2,0,254,600,1.0,1.0,1.0
0,40,2,3,0,254,600,1.0,1.0,1.0
0,40,3,0,0,254,600,1.0,1.0,1.0
0,40,3,1,0,254,600,1.0,1.0,1.0
0,40,3,2,0,254,600,1.0,1.0,1.0
0,40,3,3,0,254,600,1.0,1.0,1.0
0,0,0,0,0,156,629,0.0625,0.0625,0.0625
0,0,0,1,0,156,629,0.0625,0.0625,0.0625
0,0,0,2,0,156,629,0.09375,0.0625,0.09375
0,0,0,3,0,156,629,0.0625,0.0625,0.109375
0,0,1,0,0,156,629,0.0625,0.078125,0.0625
0,0,1,1,0,156,629,0.0625,0.0625,0.0625
0,0,1,2,0,156,629,0.0625,0.0625,0.0625
0,0,1,3,0,156,629,0.078125,0.0625,0.0625
0,0,2,0,0,156,629,0.0625,0.0625,0.0625
0,0,2,1,0,156,629,0.0625,0.0625,0.0625
0,0,2,2,0,156,629,0.078125,0.0625,0.078125
0,0,2,3,0,156,629,0.0625,0.0625,0.0625
0,0,3,0,0,156,629,0.0625,0.078125,0.078125
0,0,3,1,0,156,629,0.0625,0.0625,0.0625
0,0,3,2,0,156,629,0.0625,0.0625,0.0625
0,0,3,3,0,156,629,0.0625,0.0625,0.0625
0,10,0,0,0,156,629,1.0,1.0,1.0
0,10,0,1,0,156,629,1.0,1.0,1.0
0,10,0,2,0,156,629,1.0,1.0,1.0
0,10,0,3,0,156,629,1.0,1.0,1.0
0,10,1,0,0,156,629,1.0,1.0,1.0
0,10,1,1,0,156,629,1.0,1.0,1.0
0,10,1,2,0,156,629,1.0,1.0,1.0
0,10,1,3,0,156,629,1.0,1.0,1.0
0,10,2,0,0,156,629,1.0,1.0,1.0
0,10,2,1,0,156,629,1.0,1.0,1.0
0,10,2,2,0,156,629,1.0,1.0,1.0
0,10,2,3,0,156,629,1.0,1.0,1.0
0,10,3,0,0,156,629,1.0,1.0,1.0
0,10,3,1,0,156,629,1.0,1.0,1.0
0,10,3,2,0,156,629,1.0,1.0,1.0
0,10,3,3,0,156,629,1.0,1.0,1.0
0,20,0,0,0,156,629,1.0,1.0,1.0
0,20,0,1,0,156,629,1.0,1.0,1.0
0,20,0,2,0,156,629,1.0,1.0,1.0
0,20,0,3,0,156,629,1.0,1.0,1.0
0,20,1,0,0,156,629,1.0,1.0,1.0
0,20,1,1,0,156,629,1.0,1.0,1.0
0,20,1,2,0,156,629,1.0,1.0,1.0
0,20,1,3,0,156,629,1.0,1.0,1.0
0,20,2,0,0,156,629,1.0,1.0,1.0
0,20,2,1,0,156,629,1.0,1.0,1.0
0,20,2,2,0,156,629,1.0,1.0,1.0
0,20,2,3,0,156,629,1.0,1.0,1.0
0,20,3,0,0,156,629,1.0,1.0,1.0
0,20,3,1,0,156,629,1.0,1.0,1.0
0,20,3,2,0,156,629,1.0,1.0,1.0
0,20,3,3,0,156,629,1.0,1.0,1.0
0,30,0,0,0,156,629,1.0,1.0,1.0
0,30,0,1,0,156,629,1.0,1.0,1.0
0,30,0,2,0,156,629,1.0,1.0,1.0
0,30,0,3,0,156,629,1.0,1.0,1.0
0,30,1,0,0,156,629,1.0,1.0,1.0
0,30,1,1,0,156,629,1.0,1.0,1.0
0,30,1,2,0,156,629,1.0,1.0,1.0
0,30,1,3,0,156,629,1.0,1.0,1.0
0,30,2,0,0,156,629,1.0,1.0,1.0
0,30,2,1,0,156,629,1.0,1.0,1.0
0,30,2,2,0,156,629,1.0,1.0,1.0
0,30,2,3,0,156,629,1.0,1.0,1.0
0,30,3,0,0,156,629,1.0,1.0,1.0
0,30,3,1,0,156,629,1.0,1.0,1.0
0,30,3,2,0,156,629,1.0,1.0,1.0
0,30,3,3,0,156,629,1.0,1.0,1.0
0,40,0,0,0,156,629,1.0,1.0,1.0
0,40,0,1,0,156,629,1.0,1.0,1.0
0,40,0,2,0,156,629,1.0,1.0,1.0
0,40,0,3,0,156,629,1.0,1.0,1.0
0,40,1,0,0,156,629,1.0,1.0,1.0
0,40,1,1,0,156,629,1.0,1.0,1.0
0,40,1,2,0,156,629,1.0,1.0,1.0
0,40,1,3,0,156,629,1.0,1.0,1.0
0,40,2,0,0,156,629,1.0,1.0,1.0
0,40,2,1,0,156,629,1.0,1.0,1.0
0,40,2,2,0,156,629,1.0,1.0,1.0
0,40,2,3,0,156,629,1.0,1.0,1.0
0,40,3,0,0,156,629,1.0,1.0,1.0
0,40,3,1,0,156,629,1.0,1.0,1.0
0,40,3,2,0,156,629,1.0,1.0,1.0
0,40,3,3,0,156,629,1.0,1.0,1.0
0,0,0,0,0,272,427,0.0625,0.078125,0.0625
0,0,0,1,0,272,427,0.078125,0.0625,0.0625
0,0,0,2,0,272,427,0.0625,0.0625,0.0625
0,0,0,3,0,272,427,0.0625,0.078125,0.0625
0,0,1,0,0,272,427,0.0625,0.0625,0.078125
0,0,1,1,0,272,427,0.0625,0.0625,0.078125
0,0,1,2,0,272,427,0.0625,0.0625,0.078125
0,0,1,3,0,272,427,0.0625,0.0625,0.0625
0,0,2,0,0,272,427,0.0625,0.078125,0.078125
0,0,2,1,0,272,427,0.09375,0.0625,0.0625
0,0,2,2,0,272,427,0.078125,0.0625,0.078125
0,0,2,3,0,272,427,0.078125,0.0625,0.0625
0,0,3,0,0,272,427,0.0625,0.0625,0.0625
0,0,3,1,0,272,427,0.0625,0.0625,0.0625
0,0,3,2,0,272,427,0.0625,0.0625,0.0625
0,0,3,3,0,272,427,0.0625,0.0625,0.0625
0,10,0,0,0,272,427,1.0,1.0,1.0
0,10,0,1,0,272,427,1.0,1.0,1.0
0,10,0,2,0,272,427,1.0,1.0,1.0
0,10,0,3,0,272,427,1.0,1.0,1.0
0,10,1,0,0,272,427,1.0,1.0,1.0
0,10,1,1,0,272,427,1.0,1.0,1.0
0,10,1,2,0,272,427,1.0,1.0,1.0
0,10,1,3,0,272,427,1.0,1.0,1.0
0,10,2,0,0,272,427,1.0,1.0,1.0
0,10,2,1,0,272,427,1.0,1.0,1.0
0,10,2,2,0,272,427,1.0,1.0,1.0
0,10,2,3,0,272,427,1.0,1.0,1.0
0,10,3,0,0,272,427,1.0,1.0,1.0
0,10,3,1,0,272,427,1.0,1.0,1.0
0,10,3,2,0,272,427,1.0,1.0,1.0
0,10,3,3,0,272,427,1.0,1.0,1.0
0,20,0,0,0,272,427,1.0,1.0,1.0
0,20,0,1,0,272,427,1.0,1.0,1.0
0,20,0,2,0,272,427,1.0,1.0,1.0
0,20,0,3,0,272,427,1.0,1.0,1.0
0,20,1,0,0,272,427,1.0,1.0,1.0
0,20,1,1,0,272,427,1.0,1.0,1.0
0,20,1,2,0,272,427,1.0,1.0,1.0
0,20,1,3,0,272,427,1.0,1.0,1.0
0,20,2,0,0,272,427,1.0,1.0,1.0
0,20,2,1,0,272,427,1.0,1.0,1.0
0,20,2,2,0,272,427,1.0,1.0,1.0
0,20,2,3,0,272,427,1.0,1.0,1.0
0,20,3,0,0,272,427,1.0,1.0,1.0
0,20,3,1,0,272,427,1.0,1.0,1.0
0,20,3,2,0,272,427,1.0,1.0,1.0
0,20,3,3,0,272,427,1.0,1.0,1.0
0,30,0,0,0,272,427,1.0,1.0,1.0
0,30,0,1,0,272,427,1.0,1.0,1.0
0,30,0,2,0,272,427,1.0,1.0,1.0
0,30,0,3,0,272,427,1.0,1.0,1.0
0,30,1,0,0,272,427,1.0,1.0,1.0
0,30,1,1,0,272,427,1.0,1.0,1.0
0,30,1,2,0,272,427,1.0,1.0,1.0
0,30,1,3,0,272,427,1.0,1.0,1.0
0,30,2,0,0,272,427,1.0,1.0,1.0
0,30,2,1,0,272,427,1.0,1.0,1.0
0,30,2,2,0,272,427,1.0,1.0,1.0
0,30,2,3,0,272,427,1.0,1.0,1.0
0,30,3,0,0,272,427,1.0,1.0,1.0
0,30,3,1,0,272,427,1.0,1.0,1.0
0,30,3,2,0,272,427,1.0,1.0,1.0
0,30,3,3,0,272,427,1.0,1.0,1.0
0,40,0,0,0,272,427,1.0,1.0,1.0
0,40,0,1,0,272,427,1.0,1.0,1.0
0,40,0,2,0,272,427,1.0,1.0,1.0
0,40,0,3,0,272,427,1.0,1.0,1.0
0,40,1,0,0,272,427,1.0,1.0,1.0
0,40,1,1,0,272,427,1.0,1.0,1.0
0,40,1,2,0,272,427,1.0,1.0,1.0
0,40,1,3,0,272,427,1.0,1.0,1.0
0,40,2,0,0,272,427,1.0,1.0,1.0
0,40,2,1,0,272,427,1.0,1.0,1.0
0,40,2,2,0,272,427,1.0,1.0,1.0
0,40,2,3,0,272,427,1.0,1.0,1.0
0,40,3,0,0,272,427,1.0,1.0,1.0
0,40,3,1,0,272,427,1.0,1.0,1.0
0,40,3,2,0,272,427,1.0,1.0,1.0
0,40,3,3,0,272,427,1.0,1.0,1.0
0,0,0,0,0,14,355,0.0625,0.078125,0.0625
0,0,0,1,0,14,355,0.0625,0.0625,0.0625
0,0,0,2,0,14,355,0.078125,0.0625,0.0625
0,0,0,3,0,14,355,0.0625,0.0625,0.0625
0,0,1,0,0,14,355,0.0625,0.0625,0.0625
0,0,1,1,0,14,355,0.0625,0.09375,0.078125
0,0,1,2,0,14,355,0.0625,0.0625,0.078125
0,0,1,3,0,14,355,0.0625,0.0625,0.0625
0,0,2,0,0,14,355,0.0625,0.0625,0.0625
0,0,2,1,0,14,355,0.0625,0.0625,0.078125
0,0,2,2,0,14,355,0.0625,0.0625,0.078125
0,0,2,3,0,14,355,0.0625,0.0625,0.078125
0,0,3,0,0,14,355,0.0625,0.0625,0.0625
0,0,3,1,0,14,355,0.0625,0.0625,0.078125
0,0,3,2,0,14,355,0.078125,0.0625,0.0625
0,0,3,3,0,14,355,0.078125,0.0625,0.078125
0,10,0,0,0,14,355,1.0,1.0,1.0
0,10,0,1,0,14,355,1.0,1.0,1.0
0,10,0,2,0,14,355,1.0,1.0,1.0
0,10,0,3,0,14,355,1.0,1.0,1.0
0,10,1,0,0,14,355,1.0,1.0,1.0
0,10,1,1,0,14,355,1.0,1.0,1.0
0,10,1,2,0,14,355,1.0,1.0,1.0
0,10,1,3,0,14,355,1.0,1.0,1.0
0,10,2,0,0,14,355,1.0,1.0,1.0
0,10,2,1,0,14,355,1.0,1.0,1.0
0,10,2,2,0,14,355,1.0,1.0,1.0
0,10,2,3,0,14,355,1.0,1.0,1.0
0,10,3,0,0,14,355,1.0,1.0,1.0
0,10,3,1,0,14,355,1.0,1.0,1.0
0,10,3,2,0,14,355,1.0,1.0,1.0
0,10,3,3,0,14,355,1.0,1.0,1.0
0,20,0,0,0,14,355,1.0,1.0,1.0
0,20,0,1,0,14,355,1.0,1.0,1.0
0,20,0,2,0,14,355,1.0,1.0,1.0
0,20,0,3,0,14,355,1.0,1.0,1.0
0,20,1,0,0,14,355,1.0,1.0,1.0
0,20,1,1,0,14,355,1.0,1.0,1.0
0,20,1,2,0,14,355,1.0,1.0,1.0
0,20,1,3,0,14,355,1.0,1.0,1.0
0,20,2,0,0,14,355,1.0,1.0,1.0
0,20,2,1,0,14,355,1.0,1.0,1.0
0,20,2,2,0,14,355,1.0,1.0,1.0
0,20,2,3,0,14,355,1.0,1.0,1.0
0,20,3,0,0,14,355,1.0,1.0,1.0
0,20,3,1,0,14,355,1.0,1.0,1.0
0,20,3,2,0,14,355,1.0,1.0,1.0
0,20,3,3,0,14,355,1.0,1.0,1.0
0,30,0,0,0,14,355,1.0,1.0,1.0
0,30,0,1,0,14,355,1.0,1.0,1.0
0,30,0,2,0,14,355,1.0,1.0,1.0
0,30,0,3,0,14,355,1.0,1.0,1.0
0,30,1,0,0,14,355,1.0,1.0,1.0
0,30,1,1,0,14,355,1.0,1.0,1.0
0,30,1,2,0,14,355,1.0,1.0,1.0
0,30,1,3,0,14,355,1.0,1.0,1.0
0,30,2,0,0,14,355,1.0,1.0,1.0
0,30,2,1,0,14,355,1.0,1.0,1.0
0,30,2,2,0,14,355,1.0,1.0,1.0
0,30,2,3,0,14,355,1.0,1.0,1.0
0,30,3,0,0,14,355,1.0,1.0,1.0
0,30,3,1,0,14,355,1.0,1.0,1.0
0,30,3,2,0,14,355,1.0,1.0,1.0
0,30,3,3,0,14,355,1.0,1.0,1.0
0,40,0,0,0,14,355,1.0,1.0,1.0
0,40,0,1,0,14,355,1.0,1.0,1.0
0,40,0,2,0,14,355,1.0,1.0,1.0
0,40,0,3,0,14,355,1.0,1.0,1.0
0,40,1,0,0,14,355,1.0,1.0,1.0
0,40,1,1,0,14,355,1.0,1.0,1.0
0,40,1,2,0,14,355,1.0,1.0,1.0
0,40,1,3,0,14,355,1.0,1.0,1.0
0,40,2,0,0,14,355,1.0,1.0,1.0
0,40,2,1,0,14,355,1.0,1.0,1.0
0,40,2,2,0,14,355,1.0,1.0,1.0
0,40,2,3,0,14,355,1.0,1.0,1.0
0,40,3,0,0,14,355,1.0,1.0,1.0
0,40,3,1,0,14,355,1.0,1.0,1.0
0,40,3,2,0,14,355,1.0,1.0,1.0
0,40,3,3,0,14,355,1.0,1.0,1.0
0,0,0,0,0,66,231,0.0625,0.0625,0.0625
0,0,0,1,0,66,231,0.0625,0.0625,0.0625
0,0,0,2,0,66,231,0.0625,0.0625,0.0625
0,0,0,3,0,66,231,0.0625,0.0625,0.0625
0,0,1,0,0,66,231,0.0625,0.0625,0.0625
0,0,1,1,0,66,231,0.0625,0.078125,0.0625
0,0,1,2,0,66,231,0.078125,0.0625,0.0625
0,0,1,3,0,66,231,0.078125,0.078125,0.0625
0,0,2,0,0,66,231,0.109375,0.0625,0.0625
0,0,2,1,0,66,231,0.0625,0.0625,0.0625
0,0,2,2,0,66,231,0.0625,0.0625,0.0625
0,0,2,3,0,66,231,0.0625,0.0625,0.0625
0,0,3,0,0,66,231,0.0625,0.0625,0.0625
0,0,3,1,0,66,231,0.09375,0.078125,0.0625
0,0,3,2,0,66,231,0.0625,0.0625,0.0625
0,0,3,3,0,66,231,0.0625,0.0625,0.0625
0,10,0,0,0,66,231,1.0,1.0,1.0
0,10,0,1,0,66,231,1.0,1.0,1.0
0,10,0,2,0,66,231,1.0,1.0,1.0
0,10,0,3,0,66,231,1.0,1.0,1.0
0,10,1,0,0,66,231,1.0,1.0,1.0
0,10,1,1,0,66,231,1.0,1.0,1.0
0,10,1,2,0,66,231,1.0,1.0,1.0
0,10,1,3,0,66,231,1.0,1.0,1.0
0,10,2,0,0,66,231,1.0,1.0,1.0
0,10,2,1,0,66,231,1.0,1.0,1.0
0,10,2,2,0,66,231,1.0,1.0,1.0
0,10,2,3,0,66,231,1.0,1.0,1.0
0,10,3,0,0,66,231,1.0,1.0,1.0
0,10,3,1,0,66,231,1.0,1.0,1.0
0,10,3,2,0,66,231,1.0,1.0,1.0
0,10,3,3,0,66,231,1.0,1.0,1.0
0,20,0,0,0,66,231,1.0,1.0,1.0
0,20,0,1,0,66,231,1.0,1.0,1.0
0,20,0,2,0,66,231,1.0,1.0,1.0
0,20,0,3,0,66,231,1.0,1.0,1.0
0,20,1,0,0,66,231,1.0,1.0,1.0
0,20,1,1,0,66,231,1.0,1.0,1.0
0,20,1,2,0,66,231,1.0,1.0,1.0
0,20,1,3,0,66,231,1.0,1.0,1.0
0,20,2,0,0,66,231,1.0,1.0,1.0
0,20,2,1,0,66,231,1.0,1.0,1.0
0,20,2,2,0,66,231,1.0,1.0,1.0
0,20,2,3,0,66,231,1.0,1.0,1.0
0,20,3,0,0,66,231,1.0,1.0,1.0
0,20,3,1,0,66,231,1.0,1.0,1.0
0,20,3,2,0,66,231,1.0,1.0,1.0
0,20,3,3,0,66,231,1.0,1.0,1.0
0,30,0,0,0,66,231,1.0,1.0,1.0
0,30,0,1,0,66,231,1.0,1.0,1.0
0,30,0,2,0,66,231,1.0,1.0,1.0
0,30,0,3,0,66,231,1.0,1.0,1.0
0,30,1,0,0,66,231,1.0,1.0,1.0
0,30,1,1,0,66,231,1.0,1.0,1.0
0,30,1,2,0,66,231,1.0,1.0,1.0
0,30,1,3,0,66,231,1.0,1.0,1.0
0,30,2,0,0,66,231,1.0,1.0,1.0
0,30,2,1,0,66,231,1.0,1.0,1.0
0,30,2,2,0,66,231,1.0,1.0,1.0
0,30,2,3,0,66,231,1.0,1.0,1.0
0,30,3,0,0,66,231,1.0,1.0,1.0
0,30,3,1,0,66,231,1.0,1.0,1.0
0,30,3,2,0,66,231,1.0,1.0,1.0
0,30,3,3,0,66,231,1.0,1.0,1.0
0,40,0,0,0,66,231,1.0,1.0,1.0
0,40,0,1,0,66,231,1.0,1.0,1.0
0,40,0,2,0,66,231,1.0,1.0,1.0
0,40,0,3,0,66,231,1.0,1.0,1.0
0,40,1,0,0,66,231,1.0,1.0,1.0
0,40,1,1,0,66,231,1.0,1.0,1.0
0,40,1,2,0,66,231,1.0,1.0,1.0
0,40,1,3,0,66,231,1.0,1.0,1.0
0,40,2,0,0,66,231,1.0,1.0,1.0
0,40,2,1,0,66,231,1.0,1.0,1.0
0,40,2,2,0,66,231,1.0,1.0,1.0
0,40,2,3,0,66,231,1.0,1.0,1.0
0,40,3,0,0,66,231,1.0,1.0,1.0
0,40,3,1,0,66,231,1.0,1.0,1.0
0,40,3,2,0,66,231,1.0,1.0,1.0
0,40,3,3,0,66,231,1.0,1.0,1.0
0,0,0,0,0,232,513,0.0625,0.0625,0.0625
0,0,0,1,0,232,513,0.0625,0.0625,0.0625
0,0,0,2,0,232,513,0.0625,0.0625,0.0625
0,0,0,3,0,232,513,0.0625,0.0625,0.078125
0,0,1,0,0,232,513,0.078125,0.0625,0.0625
0,0,1,1,0,232,513,0.078125,0.0625,0.0625
0,0,1,2,0,232,513,0.0625,0.0625,0.0625
0,0,1,3,0,232,513,0.0625,0.0625,0.078125
0,0,2,0,0,232,513,0.0625,0.0625,0.0625
0,0,2,1,0,232,513,0.0625,0.0625,0.0625
0,0,2,2,0,232,513,0.0625,0.0625,0.0625
0,0,2,3,0,232,513,0.078125,0.0625,0.0625
0,0,3,0,0,232,513,0.0625,0.0625,0.0625
0,0,3,1,0,232,513,0.0625,0.0625,0.0625
0,0,3,2,0,232,513,0.0625,0.0625,0.078125
0,0,3,3,0,232,513,0.0625,0.0625,0.0625
0,10,0,0,0,232,513,1.0,1.0,1.0
0,10,0,1,0,232,513,1.0,1.0,1.0
0,10,0,2,0,232,513,1.0,1.0,1.0
0,10,0,3,0,232,513,1.0,1.0,1.0
0,10,1,0,0,232,513,1.0,1.0,1.0
0,10,1,1,0,232,513,1.0,1.0,1.0
0,10,1,2,0,232,513,1.0,1.0,1.0
0,10,1,3,0,232,513,1.0,1.0,1.0
0,10,2,0,0,232,513,1.0,1.0,1.0
0,10,2,1,0,232,513,1.0,1.0,1.0
0,10,2,2,0,232,513,1.0,1.0,1.0
0,10,2,3,0,232,513,1.0,1.0,1.0
0,10,3,0,0,232,513,1.0,1.0,1.0
0,10,3,1,0,232,513,1.0,1.0,1.0
0,10,3,2,0,232,513,1.0,1.0,1.0
